id,empleado,area,cargo,email,fecha_nacimiento,religion,sueldo
1,Benigno Bárcena Quintanilla,Talento Human0,Asistente de Nómina,,2005-05-16,Otros,1000
2,Ciriaco Guerra Manrique,Talento Humano,Asistente de Nómina,ciriaco.guerra.manrique@empresa.com,1998-01-15,Testigo de Jehová,1883.35
3,Jennifer Lloret Seco,Financiero,Jefe de Bodega,jennifer.lloret.seco@empresa.com,1978-02-27,Católico,1066.33
4,Fabiola Cintia Jove Herrera,Talento Humano,Asistente de Nómina,fabiola.cintia.jove.herrera@empresa.com,1984-11-24,Testigo de Jehová,828.31
5,Palmira Soler Bustos,Inventario,Jefe de Bodega,palmira.soler.bustos@empresa.com,1987-02-25,Evangélico,1884.72
6,Lupe de Amorós,Inventario,Asistente de Bodega,lupe.de.amoros@empresa.com,1998-03-03,Testigo de Jehová,1222.24
7,Marisa Cisneros-Lumbreras,Sistemas,Analista de Sistemas,marisa.cisneros-lumbreras@empresa.com,1990-02-08,Testigo de Jehová,1848.83
8,Ruben Borrego Cuéllar,Talento Humano,Asistente de Nómina,ruben.borrego.cuellar@empresa.com,1971-05-17,Otros,1619.13
9,Mariana Jimena Lorenzo Pareja,Bodega,Asistente de Bodega,mariana.jimena.lorenzo.pareja@empresa.com,1981-11-28,Testigo de Jehová,986.27
10,Amando Santiago Miró,Contabilidad,Asistente de Nómina,amando.santiago.miro@empresa.com,1985-05-27,Católico,1606.21
11,Renata Alba-Reguera,Inventario,Asistente de Bodega,renata.alba-reguera@empresa.com,1977-10-22,Otros,334.03
12,Curro del Cámara,Contabilidad,Asistente de Bodega,curro.del.camara@empresa.com,1986-02-14,Testigo de Jehová,1431.59
13,Silvestre Andreu Sáez,Talento Humano,Asistente de Nómina,silvestre.andreu.saez@empresa.com,1998-09-29,Evangélico,1829.36
14,Germán Valbuena-Andrés,Sistemas,Analista de Sistemas,german.valbuena-andres@empresa.com,1979-07-10,Católico,1758.31
15,María Esteve Casanovas,Inventario,Asistente de Nómina,maria.esteve.casanovas@empresa.com,1968-04-15,Católico,725.72
16,Natividad Moliner Criado,Financiero,Asistente de Nómina,natividad.moliner.criado@empresa.com,1994-01-29,Testigo de Jehová,332.71
17,Juan Luis Milla Saez,Contabilidad,Asistente de Bodega,juan.luis.milla.saez@empresa.com,1994-02-25,Otros,1213.39
18,Nico Ribera Nadal,Talento Humano,Asistente de Nómina,nico.ribera.nadal@empresa.com,1969-09-24,Testigo de Jehová,406.13
19,Albano Fonseca Galan,Sistemas,Analista de Sistemas,albano.fonseca.galan@empresa.com,1979-02-04,Testigo de Jehová,1764.51
20,Adora Mesa,Talento Humano,Asistente de Nómina,adora.mesa@empresa.com,2001-01-16,Católico,1134.91
21,Fito Costa Jáuregui,Inventario,Asistente de Nómina,fito.costa.jauregui@empresa.com,1987-01-01,Evangélico,1266.39
22,Luz Baños Arévalo,Contabilidad,Analista de Sistemas,luz.baños.arevalo@empresa.com,1990-08-28,Evangélico,378.44
23,Camila Barrios-Ferrero,Inventario,Analista de Sistemas,camila.barrios-ferrero@empresa.com,1985-06-28,Otros,1528.75
24,Isidora Navarro,Inventario,Asistente de Nómina,isidora.navarro@empresa.com,1987-11-23,Otros,564.0
25,Olegario Peñas Villalba,Sistemas,Analista de Sistemas,olegario.peñas.villalba@empresa.com,1984-04-04,Testigo de Jehová,1287.62
26,Susanita Flores Riba,Contabilidad,Asistente de Nómina,susanita.flores.riba@empresa.com,1995-02-15,Evangélico,717.75
27,Sandra Carbajo-Prado,Sistemas,Analista de Sistemas,sandra.carbajo-prado@empresa.com,1978-11-10,Evangélico,1884.19
28,Marisela Camino Zaragoza,Talento Humano,Asistente de Nómina,marisela.camino.zaragoza@empresa.com,1965-10-30,Católico,1837.67
29,Nerea Roldan Carranza,Inventario,Jefe de Bodega,nerea.roldan.carranza@empresa.com,1970-07-31,Evangélico,1395.68
30,Hortensia Adoración Conesa Martí,Financiero,Analista de Sistemas,hortensia.adoracion.conesa.marti@empresa.com,1995-06-08,Católico,1688.07
31,Aureliano Norberto Rosa Coca,Financiero,Analista de Sistemas,aureliano.norberto.rosa.coca@empresa.com,1983-02-18,Católico,1174.46
32,Victor Manuel Graciano Valero Silva,Sistemas,Analista de Sistemas,victor.manuel.graciano.valero.silva@empresa.com,1991-02-27,Católico,962.59
33,Mariana Posada-Pedraza,Sistemas,Analista de Sistemas,mariana.posada-pedraza@empresa.com,1985-09-11,Evangélico,1328.91
34,Maxi Guzmán Teruel,Talento Humano,Asistente de Nómina,maxi.guzman.teruel@empresa.com,1971-01-23,Otros,1984.83
35,Flor Gimenez Coca,Contabilidad,Jefe de Bodega,flor.gimenez.coca@empresa.com,1995-02-09,Evangélico,1732.6
36,Eusebia Pineda Rosell,Sistemas,Analista de Sistemas,eusebia.pineda.rosell@empresa.com,2001-11-28,Católico,1141.34
37,Roxana del Lobato,Contabilidad,Analista de Sistemas,roxana.del.lobato@empresa.com,1965-11-02,Testigo de Jehová,765.72
38,Emperatriz Ruano Céspedes,Talento Humano,Asistente de Nómina,emperatriz.ruano.cespedes@empresa.com,1984-07-31,Evangélico,1136.41
39,Benigna Huguet Soriano,Financiero,Jefe de Bodega,benigna.huguet.soriano@empresa.com,1991-10-17,Evangélico,1900.29
40,Efraín Ferrán-Cuéllar,Bodega,Asistente de Bodega,efrain.ferran-cuellar@empresa.com,1973-02-11,Evangélico,1317.24
41,Almudena Perelló Correa,Bodega,Jefe de Bodega,almudena.perello.correa@empresa.com,1972-01-18,Católico,1964.14
42,Cruz Cordero-Rodriguez,Financiero,Jefe de Bodega,cruz.cordero-rodriguez@empresa.com,1993-04-01,Testigo de Jehová,1474.1
43,Eutimio Almeida Juliá,Financiero,Jefe de Bodega,eutimio.almeida.julia@empresa.com,1966-03-26,Otros,312.14
